Puño,estiramiento,codo
0.000000,0.970586,0.029414
"
0.000002",0.948627,0.051371
"
0.000000",0.978272,0.021728
"
0.000000",0.966658,0.033342
"
0.000000",0.975671,0.024329
"
0.000000",0.962255,0.037745
"
0.000002",0.910470,0.089528
"
0.000001",0.947328,0.052671
"
0.000001",0.937781,0.062218
"
0.000002",0.928735,0.071263
"
0.000002",0.926287,0.073712
"
0.999137",0.000000,0.000863
"
0.999699",0.000000,0.000301
"
0.999521",0.000000,0.000479
"
0.999432",0.000000,0.000568
"
0.999581",0.000000,0.000419
"
0.999688",0.000000,0.000312
"
0.999577",0.000000,0.000423
"
0.999630",0.000000,0.000370
"
0.999693",0.000000,0.000307
"
0.999498",0.000000,0.000502
"
0.999630",0.000000,0.000370
"
0.999404",0.000000,0.000596
"
0.053653",0.000264,0.946083
"
0.024408",0.000410,0.975181
"
0.046882",0.000329,0.952789
"
0.031783",0.000381,0.967836
"
0.078042",0.000665,0.921292
"
0.013240",0.000534,0.986225
"
0.017736",0.000676,0.981587
"
0.027880",0.000483,0.971638
"
0.029324",0.000456,0.970220
"
0.047874",0.000217,0.951909
"
0.017716",0.000626,0.981658
"
0.022399",0.000584,0.977017
"
0.049589",0.000511,0.949901
